caller,receiver,start_time,duration,tower
9876500003,9876500004,2026-08-26 01:45:00,35,TOWER-02
9876500004,9876500012,2026-08-26 02:22:00,52,TOWER-02
9876500005,9876500004,2026-08-26 02:59:00,69,TOWER-02
9876500012,9876500003,2026-08-26 03:36:00,86,TOWER-02
9876500003,9876500005,2026-08-26 04:13:00,103,TOWER-02
9876500004,9876500003,2026-08-26 04:50:00,120,TOWER-02
9876500005,9876500012,2026-08-26 05:27:00,137,TOWER-02
9876500012,9876500004,2026-08-26 06:04:00,154,TOWER-02
9876500003,9876500012,2026-08-26 06:41:00,171,TOWER-02
9876500004,9876500005,2026-08-26 07:18:00,188,TOWER-02
9876500005,9876500003,2026-08-26 07:55:00,205,TOWER-02
9876500012,9876500005,2026-08-26 08:32:00,222,TOWER-02
9876500003,9876500004,2026-08-26 09:09:00,239,TOWER-02
9876500004,9876500012,2026-08-26 09:46:00,46,TOWER-02
9876500005,9876500004,2026-08-26 10:23:00,63,TOWER-02
9876500012,9876500003,2026-08-26 11:00:00,80,TOWER-02
9876500003,9876500005,2026-08-26 11:37:00,97,TOWER-02
9876500004,9876500003,2026-08-26 12:14:00,114,TOWER-02
